host_id,host_name,property_type,bedrooms,beds,bathrooms,ratings,neighbourhood,latitude,longitude,room_type,daily_price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
1742984,Rachel,Guest suite,1.0,1,1.0,4.89,78721,30.26895,-97.68947,Entire home/apt,99,1,262,2023-09-04,1.87,1,266,16
1744639,Darcy,Rental unit,0.5,1,1.0,4.74,78702,30.27293,-97.72288,Entire home/apt,47,30,37,2023-07-31,0.26,1,128,7
1644218,Cecily,Rental unit,2.0,3,1.0,4.38,78701,30.27247,-97.74796,Entire home/apt,299,3,8,2019-11-03,0.06,2,0,0
1751224,Whitney,Home,3.0,3,2.0,4.96,78704,30.24619,-97.74569,Entire home/apt,209,3,196,2023-09-03,1.54,1,79,43
1752493,Gigi,Bungalow,2.0,3,1.0,4.93,78704,30.2466,-97.76157,Entire home/apt,165,2,307,2023-08-08,2.22,2,268,31
1761506,Savanna,Home,2.0,3,1.0,4.9,78702,30.26448,-97.71715,Entire home/apt,125,2,29,2020-03-01,0.21,1,0,0
1761915,Charm,Home,3.0,3,2.5,4.91,78704,30.23661,-97.7449,Entire home/apt,525,1,67,2023-07-02,0.48,3,80,4
1770424,Jason,Bungalow,1.0,1,1.0,4.84,78702,30.27871,-97.72332,Entire home/apt,121,1,857,2023-08-26,6.13,8,333,80
1771402,Cindie,Guest suite,1.0,1,1.0,4.67,78703,30.29932,-97.77631,Private room,72,1,71,2022-10-23,0.58,2,25,1
1714818,Jessica,Home,3.0,3,3.0,5.0,78704,30.24643,-97.76403,Entire home/apt,825,3,6,2014-11-04,0.04,1,0,0
1789494,Lara,Home,4.0,5,3.5,4.82,78704,30.24276,-97.75211,Entire home/apt,575,3,209,2023-06-11,1.81,1,250,12
1752493,Gigi,Guesthouse,1.0,2,1.0,4.9,78704,30.24821,-97.76343,Entire home/apt,125,1,404,2023-09-04,2.89,2,312,39
1795232,Sara,Home,3.0,3,2.5,5.0,78702,30.25884,-97.73056,Entire home/apt,630,3,5,2017-03-15,0.04,1,0,0
2049988,Mike,Home,2.0,2,2.0,5.0,78703,30.28885,-97.76001,Entire home/apt,248,3,11,2017-07-05,0.08,1,0,0
1798140,Scott,Rental unit,1.0,1,1.0,4.85,78745,30.22187,-97.7747,Entire home/apt,110,30,21,2021-05-02,0.15,1,0,0
1801114,An,Rental unit,1.0,1,1.0,4.85,78703,30.28097,-97.75393,Entire home/apt,97,2,14,2021-11-29,0.1,1,0,0
1806205,Varun,Townhouse,2.0,5,2.5,4.85,78701,30.28184,-97.74276,Entire home/apt,356,30,35,2022-07-22,0.25,3,268,0
1808807,Renee,Home,2.0,2,1.0,4.98,78704,30.25478,-97.76854,Entire home/apt,190,3,356,2023-09-04,2.55,2,161,46
1812799,Monica,Cabin,1.0,2,1.0,4.95,78751,30.3124,-97.72007,Private room,102,2,231,2023-06-29,1.65,1,275,23
1827423,Vicki,Cottage,2.0,1,1.0,4.88,78741,30.22314,-97.71985,Entire home/apt,65,30,40,2019-10-28,0.29,1,326,0
1832618,Robert,Home,4.0,9,4.0,4.82,78702,30.25313,-97.72534,Entire home/apt,471,2,109,2023-05-01,0.82,1,332,1
213651,Daniel,Guest suite,0.5,2,1.0,4.82,78704,30.25433,-97.77582,Entire home/apt,83,1,397,2023-08-20,2.84,2,2,66
1840480,Scott & Sally,Home,5.0,7,4.0,4.94,78704,30.25795,-97.77202,Entire home/apt,517,4,33,2023-05-08,0.29,12,80,2
1839064,Adriana,Rental unit,1.0,2,1.0,4.69,78703,30.27371,-97.75301,Entire home/apt,225,5,13,2019-03-14,0.1,1,0,0
1840480,Scott & Sally,Home,3.0,4,2.5,4.88,78704,30.25954,-97.76978,Entire home/apt,224,4,110,2023-08-20,0.79,12,190,16
1845598,D.K.,Home,3.0,4,2.5,4.82,78702,30.25917,-97.73425,Entire home/apt,492,1,104,2023-04-16,0.74,1,107,4
1488733,Vacasa Texas,Cottage,2.0,3,1.0,4.75,78751,30.3065,-97.72278,Entire home/apt,140,1,179,2022-11-06,1.28,15,360,1
1858184,Carlos,Home,2.0,2,2.5,5.0,78723,30.29608,-97.70658,Entire home/apt,160,72,15,2021-08-08,0.11,1,0,0
1887493,Sobena,Townhouse,2.0,2,2.5,5.0,78704,30.2538,-97.74359,Entire home/apt,398,4,9,2022-10-24,0.07,1,202,2
1901242,Leslie,Home,1.0,1,1.0,4.88,78702,30.25772,-97.7252,Private room,78,4,115,2023-03-30,0.82,1,15,7
1652515,Cynthia,Guest suite,1.0,1,1.0,4.95,78704,30.25909,-97.756,Entire home/apt,155,1,432,2023-08-13,3.25,1,337,36
1726978,Benjamin,Rental unit,1.0,2,1.5,4.67,78704,30.23899,-97.7522,Private room,47,3,52,2018-01-17,0.4,2,0,0
1275188,Susie & Eoin,Condo,2.0,3,2.0,4.89,78704,30.241,-97.75371,Entire home/apt,153,30,27,2022-04-09,0.21,1,157,0
2157243,Sean,Loft,1.0,1,2.0,4.82,78704,30.26139,-97.77566,Entire home/apt,119,2,288,2023-08-20,2.1,8,125,18
1644218,Cecily,Rental unit,1.0,1,1.0,4.84,78701,30.27241,-97.74894,Private room,82,2,164,2020-02-15,1.19,2,0,0
2200336,Gretchen,Home,4.0,5,3.0,4.81,78746,30.29948,-97.79728,Entire home/apt,253,3,103,2023-02-26,0.75,1,160,2
1021729,Nita,Bungalow,2.0,3,1.0,4.77,78756,30.3239,-97.731,Entire home/apt,112,2,97,2023-07-30,0.74,1,302,10
2354063,Marit,Home,3.0,4,3.0,5.0,78704,30.25174,-97.78213,Entire home/apt,599,2,5,2016-10-10,0.04,1,353,0
1918269,Amanda,Condo,1.0,1,1.0,4.94,78704,30.258,-97.75195,Private room,61,30,33,2023-05-12,0.24,3,214,3
2402591,Jane,Condo,0.5,1,1.0,4.96,78702,30.26778,-97.72849,Entire home/apt,149,4,150,2023-05-28,1.28,1,39,25
2476440,Michelle,Guesthouse,2.0,2,1.0,4.97,78704,30.253061,-97.745712,Entire home/apt,289,2,102,2023-05-24,1.22,3,327,26
793021,Steve,Home,3.0,7,2.0,4.93,78733,30.34253,-97.8616,Entire home/apt,314,2,121,2023-08-13,1.1,1,338,8
2546775,Rice,Rental unit,1.0,2,1.0,4.99,78705,30.29961,-97.73449,Entire home/apt,130,2,184,2023-08-31,1.52,1,90,29
2567934,Alexis,Rental unit,1.0,2,1.0,4.96,78701,30.27936,-97.74362,Entire home/apt,130,3,498,2023-09-01,3.64,1,118,38
2507231,Kris,Guesthouse,2.0,2,1.0,4.89,78757,30.34024,-97.73739,Entire home/apt,124,2,114,2023-07-11,0.85,1,132,15
2595932,Amber,Rental unit,1.0,2,1.0,4.9,78704,30.2619,-97.76328,Entire home/apt,99,3,530,2023-08-13,3.87,2,12,29
359112,Sara,Home,2.0,2,2.0,4.54,78722,30.29288,-97.71964,Entire home/apt,325,28,16,2022-12-03,0.12,1,83,1
989596,John,Home,3.0,4,2.0,5.0,78704,30.24852,-97.74502,Entire home/apt,255,3,7,2020-03-21,0.05,2,0,0
2457470,Sharon,Home,1.0,1,1.0,4.98,78702,30.27514,-97.71954,Private room,105,2,54,2023-04-30,0.42,1,354,9
4335991,Karen,Home,4.0,3,3.0,4.88,78704,30.2478,-97.786,Entire home/apt,450,2,90,2023-04-30,0.68,2,298,3
7976770,Andrew,Condo,1.0,1,1.0,4.78,78704,30.24546,-97.76627,Entire home/apt,100,2,193,2022-12-17,1.44,1,160,7
2927288,Tracy,Home,3.0,4,1.5,4.91,78704,30.24373,-97.75394,Entire home/apt,286,2,92,2023-09-04,0.72,1,10,20
1280071,Alexis,Condo,1.0,1,1.0,3.75,78757,30.35992,-97.7331,Entire home/apt,85,30,5,2019-08-31,0.04,1,310,0
1282837,Joseph,Home,3.0,3,2.0,4.77,78745,30.20451,-97.7971,Entire home/apt,191,30,96,2023-08-04,0.73,2,136,3
2546033,Adam,Home,2.0,2,1.5,4.87,78723,30.30308,-97.67689,Private room,111,2,146,2023-05-30,1.09,1,338,6
